option	kind	default	family	object	depends	source	help	role	n_values	in_build
pc_telescope_ignore_kspcomputeoperators	bool	sred->ignore_kspcomputeoperators	pc	telescope	pc_type=telescope	src/ksp/pc/impls/telescope/telescope.c:724	Ignore method used to compute A	tuning		yes
pc_telescope_reduction_factor	int	sred->redfactor	pc	telescope	pc_type=telescope	src/ksp/pc/impls/telescope/telescope.c:721	Factor to reduce comm size by	tuning		yes
pc_telescope_subcomm_type	enum	(PetscEnum)sred->subcommtype	pc	telescope	pc_type=telescope	src/ksp/pc/impls/telescope/telescope.c:719	Subcomm type (interlaced or contiguous)	tuning	3	yes
pc_telescope_use_coarse_dm	bool	sred->use_coarse_dm	pc	telescope	pc_type=telescope	src/ksp/pc/impls/telescope/telescope.c:725	Define sub-communicator from the coarse DM	tuning		yes
pc_type	enum	def	pc	pcset		src/ksp/pc/interface/pcset.c:142	Preconditioner	tuning	52	yes
pc_use_amat	bool	pc->useAmat	pc	pcset		src/ksp/pc/interface/pcset.c:152	use Amat (instead of Pmat) to define preconditioner in nested inner solves	tuning		yes
sub_schurs_debug	bool	sub_schurs->debug	pc	bddcschurs	pc_type=bddc	src/ksp/pc/impls/bddc/bddcschurs.c:1960	Debug output	diagnostic		yes
sub_schurs_debug_ranks	array		pc	bddcschurs	pc_type=bddc	src/ksp/pc/impls/bddc/bddcschurs.c:435	Ranks to debug (all if the option is not used)	diagnostic		yes
sub_schurs_discrete_harmonic	bool	discrete_harmonic	pc	bddcprivate	pc_type=bddc	src/ksp/pc/impls/bddc/bddcprivate.c:9390	None	tuning		yes
sub_schurs_hermitian	bool	sub_schurs->is_hermitian	pc	bddcschurs	pc_type=bddc	src/ksp/pc/impls/bddc/bddcschurs.c:1957	Hermitian problem	tuning		yes
sub_schurs_mat_solver_type	string	sub_schurs->mat_solver_type	pc	bddcschurs	pc_type=bddc	src/ksp/pc/impls/bddc/bddcschurs.c:1955	Specific direct solver to use	tuning		yes
sub_schurs_posdef	bool	sub_schurs->is_posdef	pc	bddcschurs	pc_type=bddc	src/ksp/pc/impls/bddc/bddcschurs.c:1958	Positive definite problem	tuning		yes
sub_schurs_restrictcomm	bool	sub_schurs->restrict_comm	pc	bddcschurs	pc_type=bddc	src/ksp/pc/impls/bddc/bddcschurs.c:1959	Restrict communicator on active processes only	tuning		yes
sub_schurs_symmetric	bool	sub_schurs->is_symmetric	pc	bddcschurs	pc_type=bddc	src/ksp/pc/impls/bddc/bddcschurs.c:1956	Symmetric problem	tuning		yes
adaptor_criterion	enum	(PetscEnum)criterion	snes	dmadapt		src/snes/utils/dm/dmadapt.c:503	Criterion used to drive adaptation	tuning	4	yes
adaptor_mixed_setup_function	string	funcname	snes	dmadapt		src/snes/utils/dm/dmadapt.c:508	Function to setup the mixed problem	tuning		yes
adaptor_refinement_factor	real	adaptor->refinementFactor	snes	dmadapt		src/snes/utils/dm/dmadapt.c:507	Set r such that N_adapt = r^dim N_orig	tuning		yes
adaptor_sequence_num	int	adaptor->numSeq	snes	dmadapt		src/snes/utils/dm/dmadapt.c:505	Number of adaptations to generate an optimal grid	tuning		yes
adaptor_target_num	int	"""DMAdaptor"""	snes	dmadapt		src/snes/utils/dm/dmadapt.c:506	None	tuning		yes
adaptor_type	enum	defName	snes	dmadapt		src/snes/utils/dm/dmadapt.c:500	DMAdaptor	tuning		yes
convest_monitor	bool	ce->monitor	snes	convest		src/snes/utils/convest.c:60	Monitor the error for each convergence check	diagnostic		yes
convest_no_refine	bool	ce->noRefine	snes	convest		src/snes/utils/convest.c:61	Debugging flag to run on the same mesh each time	tuning		yes
convest_num_refine	int	ce->Nr	snes	convest		src/snes/utils/convest.c:58	The number of refinements for the convergence check	tuning		yes
convest_refine_factor	real	ce->r	snes	convest		src/snes/utils/convest.c:59	The increase in resolution in each dimension	tuning		yes
ksp_ew_alpha	real	kctx->alpha	snes	snes		src/snes/interface/snes.c:883	1 < alpha <= 2	tuning		yes
ksp_ew_alpha2	real	kctx->alpha2	snes	snes		src/snes/interface/snes.c:884	alpha2	tuning		yes
ksp_ew_gamma	real	kctx->gamma	snes	snes		src/snes/interface/snes.c:882	0 <= gamma <= 1	tuning		yes
ksp_ew_rtol0	real	kctx->rtol_0	snes	snes		src/snes/interface/snes.c:879	0 <= rtol0 < 1	tuning		yes
ksp_ew_rtolmax	real	kctx->rtol_max	snes	snes		src/snes/interface/snes.c:881	0 <= rtolmax < 1	tuning		yes
ksp_ew_threshold	real	kctx->threshold	snes	snes		src/snes/interface/snes.c:885	0 < threshold < 1	tuning		yes
ksp_ew_v4_m1	real		snes	snes		src/snes/interface/snes.c:889	None	tuning		yes
ksp_ew_v4_m2	real		snes	snes		src/snes/interface/snes.c:890	None	tuning		yes
ksp_ew_v4_m3	real	kctx->v4_m3	snes	snes		src/snes/interface/snes.c:891	Threshold for successive rtol (0.1 in Eq.7)	tuning		yes
ksp_ew_v4_m4	real	kctx->v4_m4	snes	snes		src/snes/interface/snes.c:892	Adaptation scaling (0.5 in Eq.7)	tuning		yes
ksp_ew_v4_p1	real	kctx->v4_p1	snes	snes		src/snes/interface/snes.c:886	p1	tuning		yes
ksp_ew_v4_p2	real	kctx->v4_p2	snes	snes		src/snes/interface/snes.c:887	p2	tuning		yes
ksp_ew_v4_p3	real	kctx->v4_p3	snes	snes		src/snes/interface/snes.c:888	p3	tuning		yes
ksp_ew_version	int	api	snes	snes		src/snes/interface/snes.c:878	None	tuning		yes
mat_fd_type	enum	2	snes	snesj		src/snes/interface/snesj.c:99	Algorithm to compute difference parameter	tuning	3	yes
snes_anderson_beta	real	ngmres->andersonBeta	snes	anderson	snes_type=ngmres	src/snes/impls/ngmres/anderson.c:11	Mixing parameter	tuning		yes
snes_anderson_m	int	ngmres->msize	snes	anderson	snes_type=ngmres	src/snes/impls/ngmres/anderson.c:10	Number of directions	tuning		yes
snes_anderson_monitor	bool	ngmres->monitor ? PETSC_TRUE : PETSC_FAL	snes	anderson	snes_type=ngmres	src/snes/impls/ngmres/anderson.c:15	Monitor steps of Anderson Mixing	diagnostic		yes
snes_anderson_restart	int	ngmres->restart_periodic	snes	anderson	snes_type=ngmres	src/snes/impls/ngmres/anderson.c:12	Iterations before forced restart	tuning		yes
snes_anderson_restart_it	int	ngmres->restart_it	snes	anderson	snes_type=ngmres	src/snes/impls/ngmres/anderson.c:13	Tolerance iterations before restart	tuning		yes
snes_anderson_restart_type	enum	(PetscEnum)ngmres->restart_type	snes	anderson	snes_type=ngmres	src/snes/impls/ngmres/anderson.c:14	Restart type	tuning	3	yes
snes_atol	real	snes->abstol	snes	snes		src/snes/interface/snes.c:987	Stop if function norm less than	tuning		yes
snes_check_jacobian_domain_error	bool	snes->checkjacdomainerror	snes	snes		src/snes/interface/snes.c:1004	Check Jacobian domain error after Jacobian evaluation	diagnostic		yes
snes_composite_damping	array		snes	snescomposite	snes_type=composite	src/snes/impls/composite/snescomposite.c:432	Damping of the additive composite solvers	tuning		yes
snes_composite_rtol	real	jac->rtol	snes	snescomposite	snes_type=composite	src/snes/impls/composite/snescomposite.c:437	Residual tolerance for the additive composite solvers	tuning		yes
snes_composite_sneses	array		snes	snescomposite	snes_type=composite	src/snes/impls/composite/snescomposite.c:425	List of composite solvers	tuning		yes
snes_composite_stol	real	jac->stol	snes	snescomposite	snes_type=composite	src/snes/impls/composite/snescomposite.c:436	Step tolerance for restart on the additive composite solvers	tuning		yes
snes_composite_type	enum	(PetscEnum)jac->type	snes	snescomposite	snes_type=composite	src/snes/impls/composite/snescomposite.c:423	Type of composition	tuning	3	yes
snes_converged_reason_view_cancel	bool	flg	snes	snes		src/snes/interface/snes.c:1085	Remove all converged reason viewers	diagnostic		yes
snes_convergence_test	enum	PETSC_STATIC_ARRAY_LENGTH(convtests)	snes	snes		src/snes/interface/snes.c:1024	Convergence test	diagnostic	3	yes
snes_divergence_tolerance	real	snes->divtol	snes	snes		src/snes/interface/snes.c:993	Stop if residual norm increases by this factor	tuning		yes
snes_error_if_not_converged	bool	snes->errorifnotconverged	snes	snes		src/snes/interface/snes.c:1002	Generate error if solver does not converge	diagnostic		yes
snes_fas_continuation	bool	fas->continuation	snes	fas	snes_type=fas	src/snes/impls/fas/fas.c:212	Corrected grid-sequence continuation	tuning		yes
snes_fas_cycles	int	fas->n_cycles	snes	fas	snes_type=fas	src/snes/impls/fas/fas.c:210	Number of cycles	tuning		yes
snes_fas_full_downsweep	bool	fas->full_downsweep	snes	fas	snes_type=fas	src/snes/impls/fas/fas.c:219	Smooth on the initial down sweep for full FAS cycles	tuning		yes
snes_fas_full_total	bool	fas->full_total	snes	fas	snes_type=fas	src/snes/impls/fas/fas.c:221	Use total restriction and interpolaton on the indial down and up sweeps for the full FAS cycle	tuning		yes
snes_fas_galerkin	bool	fas->galerkin	snes	fas	snes_type=fas	src/snes/impls/fas/fas.c:215	Form coarse problems with Galerkin	tuning		yes
snes_fas_levels	int	levels	snes	fas	snes_type=fas	src/snes/impls/fas/fas.c:198	Number of Levels	tuning		yes
snes_fas_log	bool	monflg	snes	fas	snes_type=fas	src/snes/impls/fas/fas.c:242	Log times for each FAS level	diagnostic		yes
snes_fas_smoothdown	int	fas->max_down_it	snes	fas	snes_type=fas	src/snes/impls/fas/fas.c:227	Number of pre-smoothing steps	tuning		yes
snes_fas_smoothup	int	fas->max_up_it	snes	fas	snes_type=fas	src/snes/impls/fas/fas.c:225	Number of post-smoothing steps	tuning		yes
snes_fas_type	enum	(PetscEnum)fastype	snes	fas	snes_type=fas	src/snes/impls/fas/fas.c:206	FAS correction type	tuning	4	yes
snes_fd	bool	flg	snes	snes		src/snes/interface/snes.c:1089	Use finite differences (slow) to compute Jacobian	tuning		yes
snes_fd_color	bool	flg	snes	snes		src/snes/interface/snes.c:1105	Use finite differences with coloring to compute Jacobian	tuning		yes
snes_fd_function	bool	flg	snes	snes		src/snes/interface/snes.c:1101	Use finite differences (slow) to compute function from user objective	tuning		yes
snes_fd_function_eps	real	eps	snes	snesob		src/snes/interface/snesob.c:150	Tolerance for nonzero entries in fd function	tuning		yes
snes_force_iteration	bool	snes->forceiteration	snes	snes		src/snes/interface/snes.c:1003	Force SNESSolve() to take at least one iteration	tuning		yes
snes_function_type	enum	2	snes	snes		src/snes/interface/snes.c:1042	SNES Norm schedule	tuning		yes
snes_grid_sequence	int	snes->gridsequence	snes	snes		src/snes/interface/snes.c:1021	Use grid sequencing to generate initial guess	tuning		yes
snes_ksp_ew	bool	snes->ksp_ewconv	snes	snes		src/snes/interface/snes.c:1047	Use Eisentat-Walker linear system convergence test	tuning		yes
snes_lag_jacobian	int	snes->lagjacobian	snes	snes		src/snes/interface/snes.c:1013	How often to rebuild Jacobian	tuning		yes
snes_lag_jacobian_persists	bool	snes->lagjac_persist	snes	snes		src/snes/interface/snes.c:1018	Jacobian lagging through multiple SNES solves	tuning		yes
snes_lag_preconditioner	int	snes->lagpreconditioner	snes	snes		src/snes/interface/snes.c:1006	How often to rebuild preconditioner	tuning		yes
snes_lag_preconditioner_persists	bool	snes->lagjac_persist	snes	snes		src/snes/interface/snes.c:1011	Preconditioner lagging through multiple SNES solves	tuning		yes
snes_max_fail	int	snes->maxFailures	snes	snes		src/snes/interface/snes.c:996	Maximum nonlinear step failures	tuning		yes
snes_max_funcs	int	snes->max_funcs	snes	snes		src/snes/interface/snes.c:990	Maximum function evaluations	tuning		yes
snes_max_it	int	snes->max_its	snes	snes		src/snes/interface/snes.c:989	Maximum iterations	tuning		yes
snes_max_linear_solve_fail	int	snes->maxLinearSolveFailures	snes	snes		src/snes/interface/snes.c:999	Maximum failures in linear solves allowed	tuning		yes
snes_mf	bool	PETSC_FALSE	snes	snes		src/snes/interface/snes.c:1121	Use a Matrix-Free Jacobian with no matrix for computing the preconditioner	tuning		yes
snes_mf_operator	bool	PETSC_FALSE	snes	snes		src/snes/interface/snes.c:1115	Use a Matrix-Free Jacobian with user-provided matrix for computing the preconditioner	tuning		yes
snes_mf_version	int	snes->mf_version	snes	snes		src/snes/interface/snes.c:1123	Matrix-Free routines version 1 or 2	tuning		yes
snes_monitor_cancel	bool	flg	snes	snes		src/snes/interface/snes.c:1054	Remove all monitors	diagnostic		yes
snes_monitor_lg_range	bool	flg	snes	snes		src/snes/interface/snes.c:1074	Plot function range at each iteration	diagnostic		yes
snes_monitor_pause_final	bool	PETSC_FALSE	snes	snes		src/snes/interface/snes.c:1068	Pauses all draw monitors at the final iterate	diagnostic		yes
snes_monitor_python	string	monfilename	snes	snes		src/snes/interface/snes.c:1070	Use Python function	diagnostic		yes
snes_monitor_saws	bool	flg	snes	snes		src/snes/interface/snes.c:1135	Publish SNES progress using SAWs	diagnostic		not found
snes_ms_damping	real	damping	snes	ms	snes_type=ms	src/snes/impls/ms/ms.c:421	Damping for multistage method	tuning		yes
snes_ms_norms	bool	norms	snes	ms	snes_type=ms	src/snes/impls/ms/ms.c:426	None	tuning		yes
snes_ms_type	enum	count	snes	ms	snes_type=ms	src/snes/impls/ms/ms.c:417	Multistage smoother type	tuning		yes
snes_multiblock_block_size	int	mb->bs	snes	multiblock	snes_type=multiblock	src/snes/impls/multiblock/multiblock.c:397	Blocksize that defines number of fields	tuning		yes
snes_multiblock_type	enum	(PetscEnum)mb->type	snes	multiblock	snes_type=multiblock	src/snes/impls/multiblock/multiblock.c:399	Type of composition	tuning	6	yes
snes_nasm_damping	real	nasm->damping	snes	nasm	snes_type=nasm	src/snes/impls/nasm/nasm.c:176	The new solution is obtained as old solution plus dmp times (sum of the solutions on the subdomains)	tuning		yes
snes_nasm_finaljacobian	bool	nasm->finaljacobian	snes	nasm	snes_type=nasm	src/snes/impls/nasm/nasm.c:179	Compute the global jacobian of the final iterate (for ASPIN)	tuning		yes
snes_nasm_finaljacobian_type	enum	3	snes	nasm	snes_type=nasm	src/snes/impls/nasm/nasm.c:180	The type of the final jacobian computed.	tuning	3	yes
snes_nasm_log	bool	monflg	snes	nasm	snes_type=nasm	src/snes/impls/nasm/nasm.c:181	Log times for subSNES solves and restriction	diagnostic		yes
snes_nasm_type	enum	(PetscEnum)nasm->type	snes	nasm	snes_type=nasm	src/snes/impls/nasm/nasm.c:172	Type of restriction/extension	tuning	4	yes
snes_ncg_monitor	bool	ncg->monitor ? PETSC_TRUE : PETSC_FALSE	snes	snesncg	snes_type=ncg	src/snes/impls/ncg/snesncg.c:95	Monitor the beta values used in the NCG iterations	diagnostic		yes
snes_ncg_type	enum	(PetscEnum)ncg->type	snes	snesncg	snes_type=ncg	src/snes/impls/ncg/snesncg.c:97	NCG Beta type used	tuning	5	yes
snes_newtonal_correction_type	enum	(PetscEnum)correction_type	snes	al	snes_type=al	src/snes/impls/al/al.c:563	Type of correction to use in the arc-length continuation method	tuning	2	yes
snes_newtonal_lambda_max	real	data->lambda_max	snes	al	snes_type=al	src/snes/impls/al/al.c:561	Maximum value of the load parameter lambda	tuning		yes
snes_newtonal_lambda_min	real	data->lambda_min	snes	al	snes_type=al	src/snes/impls/al/al.c:560	Minimum value of the load parameter lambda	tuning		yes
snes_newtonal_max_continuation_steps	int	data->max_continuation_steps	snes	al	snes_type=al	src/snes/impls/al/al.c:558	Maximum number of increment steps	tuning		yes
snes_newtonal_psisq	real	"""SNESNewtonAL"""	snes	al	snes_type=al	src/snes/impls/al/al.c:559	None	tuning		yes
snes_newtonal_scale_rhs	bool	data->scale_rhs	snes	al	snes_type=al	src/snes/impls/al/al.c:562	Scale the constant vector passed to `SNESSolve` by the load parameter lambda	tuning		yes
snes_newtonal_step_size	real	data->step_size	snes	al	snes_type=al	src/snes/impls/al/al.c:557	Initial arc length increment step size	tuning		yes
snes_ngmres_approxfunc	bool	ngmres->approxfunc	snes	snesngmres	snes_type=ngmres	src/snes/impls/ngmres/snesngmres.c:90	Linearly approximate the function	tuning		yes
snes_ngmres_candidate	bool	ngmres->candidate	snes	snesngmres	snes_type=ngmres	src/snes/impls/ngmres/snesngmres.c:89	Use candidate storage	tuning		yes
snes_ngmres_deltaB	real	ngmres->deltaB	snes	snesngmres	snes_type=ngmres	src/snes/impls/ngmres/snesngmres.c:99	Difference residual selection constant	tuning		yes
snes_ngmres_epsilonB	real	ngmres->epsilonB	snes	snesngmres	snes_type=ngmres	src/snes/impls/ngmres/snesngmres.c:98	Difference selection constant	tuning		yes
snes_ngmres_gammaA	real	ngmres->gammaA	snes	snesngmres	snes_type=ngmres	src/snes/impls/ngmres/snesngmres.c:96	Residual selection constant	tuning		yes
snes_ngmres_gammaC	real	ngmres->gammaC	snes	snesngmres	snes_type=ngmres	src/snes/impls/ngmres/snesngmres.c:97	Residual restart constant	tuning		yes
snes_ngmres_m	int	ngmres->msize	snes	snesngmres	snes_type=ngmres	src/snes/impls/ngmres/snesngmres.c:91	Number of directions	tuning		yes
snes_ngmres_monitor	bool	ngmres->monitor ? PETSC_TRUE : PETSC_FAL	snes	snesngmres	snes_type=ngmres	src/snes/impls/ngmres/snesngmres.c:94	Monitor actions of NGMRES	diagnostic		yes
snes_ngmres_restart	int	ngmres->restart_periodic	snes	snesngmres	snes_type=ngmres	src/snes/impls/ngmres/snesngmres.c:92	Iterations before forced restart	tuning		yes
snes_ngmres_restart_fm_rise	bool	ngmres->restart_fm_rise	snes	snesngmres	snes_type=ngmres	src/snes/impls/ngmres/snesngmres.c:100	Restart on F_M residual rise	tuning		yes
snes_ngmres_restart_it	int	ngmres->restart_it	snes	snesngmres	snes_type=ngmres	src/snes/impls/ngmres/snesngmres.c:93	Tolerance iterations before restart	tuning		yes
snes_ngmres_restart_type	enum	(PetscEnum)ngmres->restart_type	snes	snesngmres	snes_type=ngmres	src/snes/impls/ngmres/snesngmres.c:88	Restart type	tuning	3	yes
snes_ngmres_select_type	enum	(PetscEnum)ngmres->select_type	snes	snesngmres	snes_type=ngmres	src/snes/impls/ngmres/snesngmres.c:87	Select type	tuning	3	yes
snes_ngs_atol	real	gs->abstol	snes	snesgs	snes_type=ngs	src/snes/impls/gs/snesgs.c:180	Absolute residual tolerance for GS iteration	tuning		yes
snes_ngs_max_it	int	gs->max_its	snes	snesgs	snes_type=ngs	src/snes/impls/gs/snesgs.c:183	Maximum number of sweeps of GS to apply	tuning		yes
snes_ngs_rtol	real	gs->rtol	snes	snesgs	snes_type=ngs	src/snes/impls/gs/snesgs.c:181	Relative residual tolerance for GS iteration	tuning		yes
snes_ngs_secant	bool	flg	snes	snesgs	snes_type=ngs	src/snes/impls/gs/snesgs.c:186	Use finite difference secant approximation with coloring	tuning		yes
snes_ngs_secant_h	real	gs->h	snes	snesgs	snes_type=ngs	src/snes/impls/gs/snesgs.c:191	Differencing parameter for secant search	tuning		yes
snes_ngs_secant_mat_coloring	bool	gs->secant_mat	snes	snesgs	snes_type=ngs	src/snes/impls/gs/snesgs.c:192	Use the graph coloring of the Jacobian for the secant GS	tuning		yes
snes_ngs_stol	real	gs->stol	snes	snesgs	snes_type=ngs	src/snes/impls/gs/snesgs.c:182	Absolute update tolerance for GS iteration	tuning		yes
snes_ngs_sweeps	int	gs->sweeps	snes	snesgs	snes_type=ngs	src/snes/impls/gs/snesgs.c:178	Number of sweeps of GS to apply	tuning		yes
snes_norm_schedule	enum	5	snes	snes		src/snes/interface/snes.c:1039	SNES Norm schedule	tuning		yes
snes_npc_side	enum	(PetscEnum)pcside	snes	snes		src/snes/interface/snes.c:1127	SNES nonlinear preconditioner side	tuning		yes
snes_qn_m	int	qn->m	snes	qn	snes_type=qn	src/snes/impls/qn/qn.c:342	Number of past states saved for L-BFGS methods	tuning		yes
snes_qn_monitor	bool	qn->monflg	snes	qn	snes_type=qn	src/snes/impls/qn/qn.c:344	Monitor for the QN methods	diagnostic		yes
snes_qn_powell_gamma	real	qn->powell_gamma	snes	qn	snes_type=qn	src/snes/impls/qn/qn.c:343	Powell angle tolerance	tuning		yes
snes_qn_restart_type	enum	(PetscEnum)rtype	snes	qn	snes_type=qn	src/snes/impls/qn/qn.c:348	Restart type	tuning	4	yes
snes_qn_scale_type	enum	(PetscEnum)stype	snes	qn	snes_type=qn	src/snes/impls/qn/qn.c:345	Scaling type	tuning	5	yes
snes_qn_type	enum	(PetscEnum)qtype	snes	qn	snes_type=qn	src/snes/impls/qn/qn.c:351	Quasi-Newton update type	tuning	3	yes
snes_rtol	real	snes->rtol	snes	snes		src/snes/interface/snes.c:986	Stop if decrease in function norm less than	tuning		yes
snes_saws_block	bool	((PetscObject)snes)->amspublishblock	snes	snes		src/snes/interface/snes.c:1146	Block for SAWs at end of SNESSolve	tuning		not found
snes_stol	real	snes->stol	snes	snes		src/snes/interface/snes.c:988	Stop if step length less than	tuning		yes
snes_test_function	bool	&test	snes	snes		src/snes/interface/snes.c:2647	Compare hand-coded and finite difference function	diagnostic		yes
snes_test_jacobian	bool	&test	snes	snes		src/snes/interface/snes.c:2729	Compare hand-coded and finite difference Jacobians	diagnostic		yes
snes_test_jacobian_display_threshold	real	threshold	snes	snes		src/snes/interface/snes.c:2734	Display difference between hand-coded and finite difference Jacobians which exceed input threshold	diagnostic		yes
snes_tr_delta0	real	ctx->delta0	snes	tr	snes_type=newtontr	src/snes/impls/tr/tr.c:842	Initial trust region size	tuning		yes
snes_tr_deltamax	real	ctx->deltaM	snes	tr	snes_type=newtontr	src/snes/impls/tr/tr.c:844	Maximum allowed trust region size	tuning		yes
snes_tr_deltamin	real	ctx->deltam	snes	tr	snes_type=newtontr	src/snes/impls/tr/tr.c:843	Minimum allowed trust region size	tuning		yes
snes_tr_eta1	real	ctx->eta1	snes	tr	snes_type=newtontr	src/snes/impls/tr/tr.c:837	eta1	tuning		yes
snes_tr_eta2	real	ctx->eta2	snes	tr	snes_type=newtontr	src/snes/impls/tr/tr.c:838	eta2	tuning		yes
snes_tr_eta3	real	ctx->eta3	snes	tr	snes_type=newtontr	src/snes/impls/tr/tr.c:839	eta3	tuning		yes
snes_tr_fallback_type	enum	(PetscEnum)fallback	snes	tr	snes_type=newtontr	src/snes/impls/tr/tr.c:848	Type of fallback if subproblem solution is outside of the trust region	tuning	3	yes
snes_tr_kmdc	real	ctx->kmdc	snes	tr	snes_type=newtontr	src/snes/impls/tr/tr.c:845	sufficient decrease parameter	tuning		yes
snes_tr_norm_type	enum	(PetscEnum)norm	snes	tr	snes_type=newtontr	src/snes/impls/tr/tr.c:856	Type of norm for trust region bounds	tuning	5	yes
snes_tr_qn	enum	(PetscEnum)qn	snes	tr	snes_type=newtontr	src/snes/impls/tr/tr.c:852	Use Quasi-Newton approximations for the model	tuning	3	yes
snes_tr_t1	real	ctx->t1	snes	tr	snes_type=newtontr	src/snes/impls/tr/tr.c:840	t1	tuning		yes
snes_tr_t2	real	ctx->t2	snes	tr	snes_type=newtontr	src/snes/impls/tr/tr.c:841	t2	tuning		yes
snes_trdc_auto_scale_max	real	ctx->auto_scale_max	snes	ntrdc	snes_type=ntrdc	src/snes/impls/ntrdc/ntrdc.c:608	auto_scale_max	tuning		yes
snes_trdc_auto_scale_multiphase	bool	ctx->auto_scale_multiphase	snes	ntrdc	snes_type=ntrdc	src/snes/impls/ntrdc/ntrdc.c:610	auto_scale_multiphase	tuning		yes
snes_trdc_delta0	real	ctx->delta0	snes	ntrdc	snes_type=ntrdc	src/snes/impls/ntrdc/ntrdc.c:607	delta0	tuning		yes
snes_trdc_deltaM	real	ctx->deltaM	snes	ntrdc	snes_type=ntrdc	src/snes/impls/ntrdc/ntrdc.c:606	deltaM	tuning		yes
snes_trdc_eta1	real	ctx->eta1	snes	ntrdc	snes_type=ntrdc	src/snes/impls/ntrdc/ntrdc.c:601	eta1	tuning		yes
snes_trdc_eta2	real	ctx->eta2	snes	ntrdc	snes_type=ntrdc	src/snes/impls/ntrdc/ntrdc.c:602	eta2	tuning		yes
snes_trdc_eta3	real	ctx->eta3	snes	ntrdc	snes_type=ntrdc	src/snes/impls/ntrdc/ntrdc.c:603	eta3	tuning		yes
snes_trdc_t1	real	ctx->t1	snes	ntrdc	snes_type=ntrdc	src/snes/impls/ntrdc/ntrdc.c:604	t1	tuning		yes
snes_trdc_t2	real	ctx->t2	snes	ntrdc	snes_type=ntrdc	src/snes/impls/ntrdc/ntrdc.c:605	t2	tuning		yes
snes_trdc_tol	real	ctx->deltatol	snes	ntrdc	snes_type=ntrdc	src/snes/impls/ntrdc/ntrdc.c:600	Trust region tolerance	tuning		yes
snes_trdc_use_cauchy	bool	ctx->use_cauchy	snes	ntrdc	snes_type=ntrdc	src/snes/impls/ntrdc/ntrdc.c:609	use_cauchy	tuning		yes
snes_type	enum	deft	snes	snes		src/snes/interface/snes.c:974	Nonlinear solver method	tuning	21	yes
snes_vi_monitor	bool	flg	snes	vi	snes_type=vinewtonrsls|vinewtonssls	src/snes/impls/vi/vi.c:584	Monitor all non-active variables	diagnostic		yes
snes_vi_zero_tolerance	real	snes->vizerotolerance	snes	vi	snes_type=vinewtonrsls|vinewtonssls	src/snes/impls/vi/vi.c:583	Tolerance for considering x[] value to be on a bound	tuning		yes
mat_strumpack_colperm	bool	flg	strumpack	strumpack	pc_factor_mat_solver_type=strumpack	src/mat/impls/aij/mpi/strumpack/strumpack.c:1196	Find a col perm to get nonzero diagonal	tuning		yes
mat_strumpack_compression	enum	(PetscEnum)compcurrent	strumpack	strumpack	pc_factor_mat_solver_type=strumpack	src/mat/impls/aij/mpi/strumpack/strumpack.c:1154	Rank-structured compression type	tuning	8	yes
mat_strumpack_compression_abs_tol	real	ctol	strumpack	strumpack	pc_factor_mat_solver_type=strumpack	src/mat/impls/aij/mpi/strumpack/strumpack.c:1166	Absolute compression tolerance	tuning		yes
mat_strumpack_compression_butterfly_levels	int	bfly_lvls	strumpack	strumpack	pc_factor_mat_solver_type=strumpack	src/mat/impls/aij/mpi/strumpack/strumpack.c:1185	Number of levels in the HODLR matrix for which to use butterfly compression	tuning		not found
mat_strumpack_compression_leaf_size	int	leaf_size	strumpack	strumpack	pc_factor_mat_solver_type=strumpack	src/mat/impls/aij/mpi/strumpack/strumpack.c:1174	Size of diagonal blocks in rank-structured approximation	tuning		yes
mat_strumpack_compression_lossy_precision	int	lossy_prec	strumpack	strumpack	pc_factor_mat_solver_type=strumpack	src/mat/impls/aij/mpi/strumpack/strumpack.c:1179	Number of bitplanes to use in lossy compression	tuning		yes
mat_strumpack_compression_min_sep_size	int	min_sep_size	strumpack	strumpack	pc_factor_mat_solver_type=strumpack	src/mat/impls/aij/mpi/strumpack/strumpack.c:1170	Minimum size of separator for compression	tuning		yes
mat_strumpack_compression_rel_tol	real	ctol	strumpack	strumpack	pc_factor_mat_solver_type=strumpack	src/mat/impls/aij/mpi/strumpack/strumpack.c:1162	Relative compression tolerance	tuning		yes
mat_strumpack_geometric_components	int	"""None"""	strumpack	strumpack	pc_factor_mat_solver_type=strumpack	src/mat/impls/aij/mpi/strumpack/strumpack.c:1212	None	tuning		yes
mat_strumpack_geometric_width	int	"""None"""	strumpack	strumpack	pc_factor_mat_solver_type=strumpack	src/mat/impls/aij/mpi/strumpack/strumpack.c:1214	None	tuning		yes
mat_strumpack_geometric_xyz	array		strumpack	strumpack	pc_factor_mat_solver_type=strumpack	src/mat/impls/aij/mpi/strumpack/strumpack.c:1207	None	tuning		yes
mat_strumpack_gpu	bool	flg	strumpack	strumpack	pc_factor_mat_solver_type=strumpack	src/mat/impls/aij/mpi/strumpack/strumpack.c:1191	Enable GPU acceleration (not supported for all compression types)	tuning		not found
mat_strumpack_metis_nodeNDP	bool	"""None"""	strumpack	strumpack	pc_factor_mat_solver_type=strumpack	src/mat/impls/aij/mpi/strumpack/strumpack.c:1218	None	tuning		yes
